anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2021
2021,contra el patrimonio,amazonas,4244,amazonas,428512
2021,contra el patrimonio,ancash,11007,ancash,1188391
2021,contra el patrimonio,apurimac,3701,apurimac,430609
2021,contra el patrimonio,arequipa,18062,arequipa,1526669
2021,contra el patrimonio,ayacucho,6944,ayacucho,669979
2021,contra el patrimonio,cajamarca,6205,cajamarca,1455245
2021,contra el patrimonio,callao,14042,callao,1151480
2021,contra el patrimonio,cusco,9403,cusco,1369932
2021,contra el patrimonio,huancavelica,1106,huancavelica,358356
2021,contra el patrimonio,huanuco,6885,huanuco,758416
2021,contra el patrimonio,ica,11733,ica,998144
2021,contra el patrimonio,junin,11357,junin,1369003
2021,contra el patrimonio,la libertad,16997,la libertad,2048492
2021,contra el patrimonio,lambayeque,26747,lambayeque,1325912
2021,contra el patrimonio,lima,78652,lima,10814450
2021,contra el patrimonio,loreto,5482,loreto,1037055
2021,contra el patrimonio,madre de dios,3442,madre de dios,179688
2021,contra el patrimonio,moquegua,2302,moquegua,195185
2021,contra el patrimonio,pasco,960,pasco,270842
2021,contra el patrimonio,piura,16455,piura,2077039
2021,contra el patrimonio,puno,5836,puno,1233277
2021,contra el patrimonio,san martin,3181,san martin,912674
2021,contra el patrimonio,tacna,4079,tacna,377842
2021,contra el patrimonio,tumbes,1550,tumbes,255712
2021,contra el patrimonio,ucayali,4104,ucayali,602400
2021,contra la libertad,amazonas,941,amazonas,428512
2021,contra la libertad,ancash,2117,ancash,1188391
2021,contra la libertad,apurimac,850,apurimac,430609
2021,contra la libertad,arequipa,3631,arequipa,1526669
2021,contra la libertad,ayacucho,1529,ayacucho,669979
2021,contra la libertad,cajamarca,1598,cajamarca,1455245
2021,contra la libertad,callao,3142,callao,1151480
2021,contra la libertad,cusco,2233,cusco,1369932
2021,contra la libertad,huancavelica,347,huancavelica,358356
2021,contra la libertad,huanuco,1806,huanuco,758416
2021,contra la libertad,ica,2097,ica,998144
2021,contra la libertad,junin,2842,junin,1369003
2021,contra la libertad,la libertad,2699,la libertad,2048492
2021,contra la libertad,lambayeque,4107,lambayeque,1325912
2021,contra la libertad,lima,16241,lima,10814450
2021,contra la libertad,loreto,1069,loreto,1037055
2021,contra la libertad,madre de dios,726,madre de dios,179688
2021,contra la libertad,moquegua,432,moquegua,195185
2021,contra la libertad,pasco,210,pasco,270842
2021,contra la libertad,piura,2751,piura,2077039
2021,contra la libertad,puno,1252,puno,1233277
2021,contra la libertad,san martin,798,san martin,912674
2021,contra la libertad,tacna,865,tacna,377842
2021,contra la libertad,tumbes,380,tumbes,255712
2021,contra la libertad,ucayali,631,ucayali,602400
2021,contra la seguridad publica,amazonas,948,amazonas,428512
2021,contra la seguridad publica,ancash,2950,ancash,1188391
2021,contra la seguridad publica,apurimac,1235,apurimac,430609
2021,contra la seguridad publica,arequipa,5253,arequipa,1526669
2021,contra la seguridad publica,ayacucho,1810,ayacucho,669979
2021,contra la seguridad publica,cajamarca,1377,cajamarca,1455245
2021,contra la seguridad publica,callao,4028,callao,1151480
2021,contra la seguridad publica,cusco,5656,cusco,1369932
2021,contra la seguridad publica,huancavelica,733,huancavelica,358356
2021,contra la seguridad publica,huanuco,3513,huanuco,758416
2021,contra la seguridad publica,ica,5021,ica,998144
2021,contra la seguridad publica,junin,4572,junin,1369003
2021,contra la seguridad publica,la libertad,6574,la libertad,2048492
2021,contra la seguridad publica,lambayeque,4277,lambayeque,1325912
2021,contra la seguridad publica,lima,19847,lima,10814450
2021,contra la seguridad publica,loreto,3131,loreto,1037055
2021,contra la seguridad publica,madre de dios,1945,madre de dios,179688
2021,contra la seguridad publica,moquegua,903,moquegua,195185
2021,contra la seguridad publica,pasco,281,pasco,270842
2021,contra la seguridad publica,piura,4621,piura,2077039
