anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2020
2020,contra el patrimonio,amazonas,2122,amazonas,426806
2020,contra el patrimonio,ancash,7668,ancash,1180638
2020,contra el patrimonio,apurimac,2542,apurimac,430736
2020,contra el patrimonio,arequipa,8857,arequipa,1497438
2020,contra el patrimonio,ayacucho,3138,ayacucho,668213
2020,contra el patrimonio,cajamarca,3866,cajamarca,1453711
2020,contra el patrimonio,callao,9607,callao,1129854
2020,contra el patrimonio,cusco,7210,cusco,1357075
2020,contra el patrimonio,huancavelica,859,huancavelica,365317
2020,contra el patrimonio,huanuco,4018,huanuco,760267
2020,contra el patrimonio,ica,6334,ica,975182
2020,contra el patrimonio,junin,7862,junin,1361467
2020,contra el patrimonio,la libertad,10429,la libertad,2016771
2020,contra el patrimonio,lambayeque,17491,lambayeque,1310785
2020,contra el patrimonio,lima,63975,lima,10628470
2020,contra el patrimonio,loreto,3934,loreto,1027559
2020,contra el patrimonio,madre de dios,2128,madre de dios,173811
2020,contra el patrimonio,moquegua,1447,moquegua,192740
2020,contra el patrimonio,pasco,636,pasco,271904
2020,contra el patrimonio,piura,12400,piura,2047954
2020,contra el patrimonio,puno,3248,puno,1237997
2020,contra el patrimonio,san martin,2066,san martin,899648
2020,contra el patrimonio,tacna,1952,tacna,370974
2020,contra el patrimonio,tumbes,1498,tumbes,251521
2020,contra el patrimonio,ucayali,4208,ucayali,589110
2020,contra la libertad,amazonas,624,amazonas,426806
2020,contra la libertad,ancash,1592,ancash,1180638
2020,contra la libertad,apurimac,615,apurimac,430736
2020,contra la libertad,arequipa,1597,arequipa,1497438
2020,contra la libertad,ayacucho,602,ayacucho,668213
2020,contra la libertad,cajamarca,1144,cajamarca,1453711
2020,contra la libertad,callao,2025,callao,1129854
2020,contra la libertad,cusco,1708,cusco,1357075
2020,contra la libertad,huancavelica,199,huancavelica,365317
2020,contra la libertad,huanuco,1093,huanuco,760267
2020,contra la libertad,ica,1344,ica,975182
2020,contra la libertad,junin,2202,junin,1361467
2020,contra la libertad,la libertad,1948,la libertad,2016771
2020,contra la libertad,lambayeque,3223,lambayeque,1310785
2020,contra la libertad,lima,14392,lima,10628470
2020,contra la libertad,loreto,993,loreto,1027559
2020,contra la libertad,madre de dios,525,madre de dios,173811
2020,contra la libertad,moquegua,331,moquegua,192740
2020,contra la libertad,pasco,160,pasco,271904
2020,contra la libertad,piura,2092,piura,2047954
2020,contra la libertad,puno,786,puno,1237997
2020,contra la libertad,san martin,570,san martin,899648
2020,contra la libertad,tacna,493,tacna,370974
2020,contra la libertad,tumbes,331,tumbes,251521
2020,contra la libertad,ucayali,662,ucayali,589110
2020,contra la seguridad publica,amazonas,907,amazonas,426806
2020,contra la seguridad publica,ancash,2682,ancash,1180638
2020,contra la seguridad publica,apurimac,1027,apurimac,430736
2020,contra la seguridad publica,arequipa,3321,arequipa,1497438
2020,contra la seguridad publica,ayacucho,930,ayacucho,668213
2020,contra la seguridad publica,cajamarca,1055,cajamarca,1453711
2020,contra la seguridad publica,callao,3258,callao,1129854
2020,contra la seguridad publica,cusco,3564,cusco,1357075
2020,contra la seguridad publica,huancavelica,363,huancavelica,365317
2020,contra la seguridad publica,huanuco,2355,huanuco,760267
2020,contra la seguridad publica,ica,3551,ica,975182
2020,contra la seguridad publica,junin,3288,junin,1361467
2020,contra la seguridad publica,la libertad,5743,la libertad,2016771
2020,contra la seguridad publica,lambayeque,3268,lambayeque,1310785
2020,contra la seguridad publica,lima,16578,lima,10628470
2020,contra la seguridad publica,loreto,2237,loreto,1027559
2020,contra la seguridad publica,madre de dios,1206,madre de dios,173811
2020,contra la seguridad publica,moquegua,497,moquegua,192740
2020,contra la seguridad publica,pasco,281,pasco,271904
2020,contra la seguridad publica,piura,2022,piura,2047954
2020,contra la seguridad publica,puno,2681,puno,1237997
2020,contra la seguridad publica,san martin,757,san martin,899648
2020,contra la seguridad publica,tacna,839,tacna,370974
2020,contra la seguridad publica,tumbes,1096,tumbes,251521
2020,contra la seguridad publica,ucayali,2227,ucayali,589110
2020,contra la tranquilidad publica,amazonas,14,amazonas,426806
2020,contra la tranquilidad publica,ancash,67,ancash,1180638
2020,contra la tranquilidad publica,apurimac,42,apurimac,430736
2020,contra la tranquilidad publica,arequipa,55,arequipa,1497438
2020,contra la tranquilidad publica,ayacucho,32,ayacucho,668213
2020,contra la tranquilidad publica,cajamarca,22,cajamarca,1453711
2020,contra la tranquilidad publica,callao,54,callao,1129854
2020,contra la tranquilidad publica,cusco,45,cusco,1357075
2020,contra la tranquilidad publica,huancavelica,15,huancavelica,365317
2020,contra la tranquilidad publica,huanuco,20,huanuco,760267
2020,contra la tranquilidad publica,ica,93,ica,975182
2020,contra la tranquilidad publica,junin,117,junin,1361467
2020,contra la tranquilidad publica,la libertad,59,la libertad,2016771
2020,contra la tranquilidad publica,lambayeque,107,lambayeque,1310785
2020,contra la tranquilidad publica,lima,1029,lima,10628470
2020,contra la tranquilidad publica,loreto,45,loreto,1027559
2020,contra la tranquilidad publica,madre de dios,20,madre de dios,173811
2020,contra la tranquilidad publica,moquegua,8,moquegua,192740
2020,contra la tranquilidad publica,pasco,8,pasco,271904
2020,contra la tranquilidad publica,piura,65,piura,2047954
2020,contra la tranquilidad publica,puno,19,puno,1237997
2020,contra la tranquilidad publica,san martin,27,san martin,899648
