anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2022
2022,contra la vida/el cuerpo y la salud,amazonas,4589,amazonas,429483
2022,contra la vida/el cuerpo y la salud,ancash,15462,ancash,1194156
2022,contra la vida/el cuerpo y la salud,apurimac,5515,apurimac,429720
2022,contra la vida/el cuerpo y la salud,arequipa,23387,arequipa,1553994
2022,contra la vida/el cuerpo y la salud,ayacucho,9517,ayacucho,670579
2022,contra la vida/el cuerpo y la salud,cajamarca,8656,cajamarca,1454217
2022,contra la vida/el cuerpo y la salud,callao,12097,callao,1171648
2022,contra la vida/el cuerpo y la salud,cusco,17856,cusco,1380594
2022,contra la vida/el cuerpo y la salud,huancavelica,2480,huancavelica,350845
2022,contra la vida/el cuerpo y la salud,huanuco,10322,huanuco,755213
2022,contra la vida/el cuerpo y la salud,ica,12744,ica,1020050
2022,contra la vida/el cuerpo y la salud,junin,19985,junin,1374221
2022,contra la vida/el cuerpo y la salud,la libertad,21001,la libertad,2077345
2022,contra la vida/el cuerpo y la salud,lambayeque,20156,lambayeque,1338994
2022,contra la vida/el cuerpo y la salud,lima,109810,lima,10986006
2022,contra la vida/el cuerpo y la salud,loreto,5001,loreto,1044884
2022,contra la vida/el cuerpo y la salud,madre de dios,4591,madre de dios,185478
2022,contra la vida/el cuerpo y la salud,moquegua,3820,moquegua,197337
2022,contra la vida/el cuerpo y la salud,pasco,1728,pasco,269296
2022,contra la vida/el cuerpo y la salud,piura,18315,piura,2103099
2022,contra la vida/el cuerpo y la salud,puno,10513,puno,1226353
2022,contra la vida/el cuerpo y la salud,san martin,5248,san martin,924384
2022,contra la vida/el cuerpo y la salud,tacna,5375,tacna,384222
2022,contra la vida/el cuerpo y la salud,tumbes,3478,tumbes,259556
2022,contra la vida/el cuerpo y la salud,ucayali,3806,ucayali,615024
2022,otros,amazonas,3590,amazonas,429483
2022,otros,ancash,11487,ancash,1194156
2022,otros,apurimac,2850,apurimac,429720
2022,otros,arequipa,11658,arequipa,1553994
2022,otros,ayacucho,4511,ayacucho,670579
2022,otros,cajamarca,5528,cajamarca,1454217
2022,otros,callao,7754,callao,1171648
2022,otros,cusco,7932,cusco,1380594
2022,otros,huancavelica,1881,huancavelica,350845
2022,otros,huanuco,6565,huanuco,755213
2022,otros,ica,10039,ica,1020050
2022,otros,junin,12680,junin,1374221
2022,otros,la libertad,10070,la libertad,2077345
2022,otros,lambayeque,12394,lambayeque,1338994
2022,otros,lima,33266,lima,10986006
2022,otros,loreto,3512,loreto,1044884
2022,otros,madre de dios,2892,madre de dios,185478
2022,otros,moquegua,2122,moquegua,197337
2022,otros,pasco,1671,pasco,269296
2022,otros,piura,10044,piura,2103099
2022,otros,puno,5646,puno,1226353
2022,otros,san martin,3595,san martin,924384
2022,otros,tacna,3528,tacna,384222
2022,otros,tumbes,2508,tumbes,259556
2022,otros,ucayali,3827,ucayali,615024
