anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2023
2023,contra el patrimonio,amazonas,4249,amazonas,429943
2023,contra el patrimonio,ancash,14501,ancash,1198547
2023,contra el patrimonio,apurimac,3902,apurimac,428311
2023,contra el patrimonio,arequipa,27241,arequipa,1580075
2023,contra el patrimonio,ayacucho,9257,ayacucho,670377
2023,contra el patrimonio,cajamarca,8658,cajamarca,1451436
2023,contra el patrimonio,callao,18276,callao,1190860
2023,contra el patrimonio,cusco,12836,cusco,1389737
2023,contra el patrimonio,huancavelica,1058,huancavelica,343026
2023,contra el patrimonio,huanuco,10597,huanuco,751097
2023,contra el patrimonio,ica,15635,ica,1041312
2023,contra el patrimonio,junin,16389,junin,1377838
2023,contra el patrimonio,la libertad,22511,la libertad,2104254
2023,contra el patrimonio,lambayeque,42600,lambayeque,1350663
2023,contra el patrimonio,lima,140053,lima,11147924
2023,contra el patrimonio,loreto,7997,loreto,1051560
2023,contra el patrimonio,madre de dios,4448,madre de dios,191259
2023,contra el patrimonio,moquegua,3334,moquegua,199286
2023,contra el patrimonio,pasco,1469,pasco,267425
2023,contra el patrimonio,piura,23564,piura,2127093
2023,contra el patrimonio,puno,6413,puno,1217951
2023,contra el patrimonio,san martin,8738,san martin,935194
2023,contra el patrimonio,tacna,5154,tacna,390279
2023,contra el patrimonio,tumbes,2230,tumbes,263164
2023,contra el patrimonio,ucayali,7968,ucayali,627233
2023,contra la libertad,amazonas,1123,amazonas,429943
2023,contra la libertad,ancash,2623,ancash,1198547
2023,contra la libertad,apurimac,898,apurimac,428311
2023,contra la libertad,arequipa,4178,arequipa,1580075
2023,contra la libertad,ayacucho,1791,ayacucho,670377
2023,contra la libertad,cajamarca,1757,cajamarca,1451436
2023,contra la libertad,callao,3405,callao,1190860
2023,contra la libertad,cusco,2802,cusco,1389737
2023,contra la libertad,huancavelica,306,huancavelica,343026
2023,contra la libertad,huanuco,1962,huanuco,751097
2023,contra la libertad,ica,2425,ica,1041312
2023,contra la libertad,junin,3423,junin,1377838
2023,contra la libertad,la libertad,3017,la libertad,2104254
2023,contra la libertad,lambayeque,4784,lambayeque,1350663
2023,contra la libertad,lima,20947,lima,11147924
2023,contra la libertad,loreto,1387,loreto,1051560
2023,contra la libertad,madre de dios,684,madre de dios,191259
2023,contra la libertad,moquegua,526,moquegua,199286
2023,contra la libertad,pasco,236,pasco,267425
2023,contra la libertad,piura,3434,piura,2127093
2023,contra la libertad,puno,1087,puno,1217951
2023,contra la libertad,san martin,2332,san martin,935194
2023,contra la libertad,tacna,904,tacna,390279
2023,contra la libertad,tumbes,433,tumbes,263164
2023,contra la libertad,ucayali,1921,ucayali,627233
2023,contra la seguridad publica,amazonas,766,amazonas,429943
2023,contra la seguridad publica,ancash,2685,ancash,1198547
2023,contra la seguridad publica,apurimac,1028,apurimac,428311
2023,contra la seguridad publica,arequipa,5746,arequipa,1580075
2023,contra la seguridad publica,ayacucho,2210,ayacucho,670377
2023,contra la seguridad publica,cajamarca,1598,cajamarca,1451436
2023,contra la seguridad publica,callao,6816,callao,1190860
2023,contra la seguridad publica,cusco,5724,cusco,1389737
2023,contra la seguridad publica,huancavelica,330,huancavelica,343026
2023,contra la seguridad publica,huanuco,4221,huanuco,751097
2023,contra la seguridad publica,ica,3066,ica,1041312
2023,contra la seguridad publica,junin,6069,junin,1377838
2023,contra la seguridad publica,la libertad,5998,la libertad,2104254
2023,contra la seguridad publica,lambayeque,7092,lambayeque,1350663
2023,contra la seguridad publica,lima,24775,lima,11147924
2023,contra la seguridad publica,loreto,4961,loreto,1051560
2023,contra la seguridad publica,madre de dios,2056,madre de dios,191259
2023,contra la seguridad publica,moquegua,495,moquegua,199286
2023,contra la seguridad publica,pasco,174,pasco,267425
2023,contra la seguridad publica,piura,6493,piura,2127093
