anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2023
2023,contra la seguridad publica,puno,1890,puno,1217951
2023,contra la seguridad publica,san martin,1438,san martin,935194
2023,contra la seguridad publica,tacna,1215,tacna,390279
2023,contra la seguridad publica,tumbes,1942,tumbes,263164
2023,contra la seguridad publica,ucayali,3522,ucayali,627233
2023,contra la tranquilidad publica,amazonas,31,amazonas,429943
2023,contra la tranquilidad publica,ancash,60,ancash,1198547
2023,contra la tranquilidad publica,apurimac,154,apurimac,428311
2023,contra la tranquilidad publica,arequipa,179,arequipa,1580075
2023,contra la tranquilidad publica,ayacucho,136,ayacucho,670377
2023,contra la tranquilidad publica,cajamarca,45,cajamarca,1451436
2023,contra la tranquilidad publica,callao,117,callao,1190860
2023,contra la tranquilidad publica,cusco,107,cusco,1389737
2023,contra la tranquilidad publica,huancavelica,145,huancavelica,343026
2023,contra la tranquilidad publica,huanuco,192,huanuco,751097
2023,contra la tranquilidad publica,ica,112,ica,1041312
2023,contra la tranquilidad publica,junin,154,junin,1377838
2023,contra la tranquilidad publica,la libertad,98,la libertad,2104254
2023,contra la tranquilidad publica,lambayeque,119,lambayeque,1350663
2023,contra la tranquilidad publica,lima,1182,lima,11147924
2023,contra la tranquilidad publica,loreto,55,loreto,1051560
2023,contra la tranquilidad publica,madre de dios,53,madre de dios,191259
2023,contra la tranquilidad publica,moquegua,14,moquegua,199286
2023,contra la tranquilidad publica,pasco,5,pasco,267425
2023,contra la tranquilidad publica,piura,117,piura,2127093
2023,contra la tranquilidad publica,puno,147,puno,1217951
2023,contra la tranquilidad publica,san martin,74,san martin,935194
2023,contra la tranquilidad publica,tacna,30,tacna,390279
2023,contra la tranquilidad publica,tumbes,7,tumbes,263164
2023,contra la tranquilidad publica,ucayali,54,ucayali,627233
2023,contra la vida/el cuerpo y la salud,amazonas,4976,amazonas,429943
2023,contra la vida/el cuerpo y la salud,ancash,16432,ancash,1198547
2023,contra la vida/el cuerpo y la salud,apurimac,7259,apurimac,428311
2023,contra la vida/el cuerpo y la salud,arequipa,25018,arequipa,1580075
2023,contra la vida/el cuerpo y la salud,ayacucho,9884,ayacucho,670377
2023,contra la vida/el cuerpo y la salud,cajamarca,9107,cajamarca,1451436
2023,contra la vida/el cuerpo y la salud,callao,17746,callao,1190860
2023,contra la vida/el cuerpo y la salud,cusco,17684,cusco,1389737
2023,contra la vida/el cuerpo y la salud,huancavelica,2121,huancavelica,343026
2023,contra la vida/el cuerpo y la salud,huanuco,10677,huanuco,751097
2023,contra la vida/el cuerpo y la salud,ica,12062,ica,1041312
2023,contra la vida/el cuerpo y la salud,junin,20251,junin,1377838
2023,contra la vida/el cuerpo y la salud,la libertad,18245,la libertad,2104254
2023,contra la vida/el cuerpo y la salud,lambayeque,21523,lambayeque,1350663
2023,contra la vida/el cuerpo y la salud,lima,127420,lima,11147924
2023,contra la vida/el cuerpo y la salud,loreto,5187,loreto,1051560
2023,contra la vida/el cuerpo y la salud,madre de dios,3746,madre de dios,191259
2023,contra la vida/el cuerpo y la salud,moquegua,4291,moquegua,199286
2023,contra la vida/el cuerpo y la salud,pasco,1829,pasco,267425
2023,contra la vida/el cuerpo y la salud,piura,18042,piura,2127093
2023,contra la vida/el cuerpo y la salud,puno,8712,puno,1217951
2023,contra la vida/el cuerpo y la salud,san martin,10280,san martin,935194
2023,contra la vida/el cuerpo y la salud,tacna,5458,tacna,390279
2023,contra la vida/el cuerpo y la salud,tumbes,3119,tumbes,263164
2023,contra la vida/el cuerpo y la salud,ucayali,5520,ucayali,627233
2023,otros,amazonas,3759,amazonas,429943
2023,otros,ancash,11685,ancash,1198547
2023,otros,apurimac,3719,apurimac,428311
2023,otros,arequipa,12162,arequipa,1580075
2023,otros,ayacucho,5205,ayacucho,670377
2023,otros,cajamarca,6324,cajamarca,1451436
2023,otros,callao,9580,callao,1190860
2023,otros,cusco,8901,cusco,1389737
2023,otros,huancavelica,1884,huancavelica,343026
2023,otros,huanuco,6996,huanuco,751097
2023,otros,ica,10779,ica,1041312
2023,otros,junin,14187,junin,1377838
2023,otros,la libertad,10567,la libertad,2104254
2023,otros,lambayeque,13305,lambayeque,1350663
2023,otros,lima,45882,lima,11147924
2023,otros,loreto,4280,loreto,1051560
2023,otros,madre de dios,2740,madre de dios,191259
2023,otros,moquegua,2253,moquegua,199286
2023,otros,pasco,2464,pasco,267425
2023,otros,piura,11697,piura,2127093
2023,otros,puno,5610,puno,1217951
2023,otros,san martin,6253,san martin,935194
2023,otros,tacna,4002,tacna,390279
2023,otros,tumbes,2788,tumbes,263164
2023,otros,ucayali,5808,ucayali,627233
