anio_denuncia,generico,dpto_pjfs,cantidad,departamento,total_2019
2019,contra el patrimonio,amazonas,2678,amazonas,423863
2019,contra el patrimonio,ancash,12147,ancash,1169522
2019,contra el patrimonio,apurimac,3485,apurimac,429587
2019,contra el patrimonio,arequipa,15706,arequipa,1464638
2019,contra el patrimonio,ayacucho,5858,ayacucho,664494
2019,contra el patrimonio,cajamarca,6086,cajamarca,1447891
2019,contra el patrimonio,callao,13393,callao,1105512
2019,contra el patrimonio,cusco,11099,cusco,1340457
2019,contra el patrimonio,huancavelica,1097,huancavelica,371260
2019,contra el patrimonio,huanuco,5733,huanuco,759851
2019,contra el patrimonio,ica,14918,ica,950100
2019,contra el patrimonio,junin,8009,junin,1350021
2019,contra el patrimonio,la libertad,20383,la libertad,1979901
2019,contra el patrimonio,lambayeque,27880,lambayeque,1292105
2019,contra el patrimonio,lima,118612,lima,10416139
2019,contra el patrimonio,loreto,7127,loreto,1015212
2019,contra el patrimonio,madre de dios,3530,madre de dios,167674
2019,contra el patrimonio,moquegua,2586,moquegua,189781
2019,contra el patrimonio,pasco,1076,pasco,272157
2019,contra el patrimonio,piura,19925,piura,2013517
2019,contra el patrimonio,puno,5041,puno,1239022
2019,contra el patrimonio,san martin,2985,san martin,884283
2019,contra el patrimonio,tacna,3895,tacna,363205
2019,contra el patrimonio,tumbes,2900,tumbes,246699
2019,contra el patrimonio,ucayali,8481,ucayali,574509
2019,contra la libertad,amazonas,719,amazonas,423863
2019,contra la libertad,ancash,2448,ancash,1169522
2019,contra la libertad,apurimac,819,apurimac,429587
2019,contra la libertad,arequipa,2931,arequipa,1464638
2019,contra la libertad,ayacucho,1313,ayacucho,664494
2019,contra la libertad,cajamarca,1473,cajamarca,1447891
2019,contra la libertad,callao,2374,callao,1105512
2019,contra la libertad,cusco,2351,cusco,1340457
2019,contra la libertad,huancavelica,264,huancavelica,371260
2019,contra la libertad,huanuco,1451,huanuco,759851
2019,contra la libertad,ica,2294,ica,950100
2019,contra la libertad,junin,1917,junin,1350021
2019,contra la libertad,la libertad,2845,la libertad,1979901
2019,contra la libertad,lambayeque,4527,lambayeque,1292105
2019,contra la libertad,lima,21009,lima,10416139
2019,contra la libertad,loreto,1431,loreto,1015212
2019,contra la libertad,madre de dios,661,madre de dios,167674
2019,contra la libertad,moquegua,534,moquegua,189781
2019,contra la libertad,pasco,221,pasco,272157
2019,contra la libertad,piura,3298,piura,2013517
2019,contra la libertad,puno,1425,puno,1239022
2019,contra la libertad,san martin,553,san martin,884283
2019,contra la libertad,tacna,775,tacna,363205
2019,contra la libertad,tumbes,499,tumbes,246699
2019,contra la libertad,ucayali,1267,ucayali,574509
2019,contra la seguridad publica,amazonas,625,amazonas,423863
2019,contra la seguridad publica,ancash,2592,ancash,1169522
2019,contra la seguridad publica,apurimac,1197,apurimac,429587
2019,contra la seguridad publica,arequipa,4084,arequipa,1464638
2019,contra la seguridad publica,ayacucho,1450,ayacucho,664494
2019,contra la seguridad publica,cajamarca,1258,cajamarca,1447891
2019,contra la seguridad publica,callao,3233,callao,1105512
2019,contra la seguridad publica,cusco,5264,cusco,1340457
2019,contra la seguridad publica,huancavelica,195,huancavelica,371260
2019,contra la seguridad publica,huanuco,2386,huanuco,759851
2019,contra la seguridad publica,ica,2927,ica,950100
2019,contra la seguridad publica,junin,2202,junin,1350021
2019,contra la seguridad publica,la libertad,4864,la libertad,1979901
2019,contra la seguridad publica,lambayeque,3911,lambayeque,1292105
2019,contra la seguridad publica,lima,23369,lima,10416139
2019,contra la seguridad publica,loreto,3126,loreto,1015212
2019,contra la seguridad publica,madre de dios,1101,madre de dios,167674
2019,contra la seguridad publica,moquegua,695,moquegua,189781
2019,contra la seguridad publica,pasco,212,pasco,272157
2019,contra la seguridad publica,piura,3706,piura,2013517
2019,contra la seguridad publica,puno,7633,puno,1239022
2019,contra la seguridad publica,san martin,566,san martin,884283
2019,contra la seguridad publica,tacna,1486,tacna,363205
2019,contra la seguridad publica,tumbes,1164,tumbes,246699
2019,contra la seguridad publica,ucayali,4287,ucayali,574509
2019,contra la tranquilidad publica,amazonas,19,amazonas,423863
