dpto_pjfs,anio_denuncia,incidencia_patrimonio,incidencia_libertad,incidencia_seguridad,incidencia_tranquilidad,incidencia_vida,incidencia_otros
amazonas,2019,631.8079190681894,169.63028148246013,147.4533044875349,4.4825804564210605,973.8995854792704,617.8883271245662
ancash,2019,1038.629457162841,209.3162847727533,221.62900740644469,5.386816152239975,1479.4933314636235,936.3654552885708
apurimac,2019,811.2442881185884,190.64822725082465,278.63971675120524,9.07848701194403,1933.4849518258234,709.984240677674
arequipa,2019,1072.3468870806303,200.1177082664795,278.84023219389366,8.329703312354315,2545.543677004147,598.5096658696552
ayacucho,2019,881.5730465587349,197.5939587114406,218.21115013830072,5.267165692993466,1681.7307605486278,732.286521774463
cajamarca,2019,420.33550868124746,101.7341775036933,86.88499341455952,1.7266493126899745,689.6928014608834,355.68975841413476
callao,2019,1211.4748641353508,214.74212853410907,292.4436822033592,6.874642699491277,1489.2647026897944,450.9222875916317
cusco,2019,828.0011966068288,175.38794605123476,392.7018919666949,4.028476855281445,1636.0092117837423,560.1820871538588
huancavelica,2019,295.4802564240694,71.10919571190001,52.52383774174434,2.9628831546625007,634.8650541399558,415.0729946668103
huanuco,2019,754.4900250180627,190.95849054617287,314.0089306982553,3.948142464772699,1430.938433982452,709.2179914220025
ica,2019,1570.150510472582,241.44826860330494,308.07283443848013,11.261972423955374,1658.8780128407536,951.8998000210504
junin,2019,593.2500309254449,141.99779114547107,163.10857386662875,3.999937778745664,1274.7949846706088,705.3964345739806
la libertad,2019,1029.4959192404065,143.69405338953817,245.66884909902063,5.555833347222917,893.5800325369805,457.4471147799814
lambayeque,2019,2157.7193803909126,350.35852349460765,302.68437936545405,11.68635675893213,1987.9189384763622,871.1366336327155
lima,2019,1138.7328836529543,201.696617143838,224.35376486431295,19.29697750769263,1272.72687125239,416.373091795338
loreto,2019,702.0208586974937,140.95578066453115,307.9159820805901,5.51608925032407,681.9265335713131,331.5563645819789
madre de dios,2019,2105.2757135870797,394.2173503345779,656.6313203001062,13.120698498276417,2961.6994882927584,1961.5444254923245
moquegua,2019,1362.6232341488346,281.3769555434949,366.21158071672085,3.161538826331403,2300.0194961560956,1114.4424362818195
pasco,2019,395.36003115848575,81.20312907623173,77.89621431747116,6.246394544325518,870.8208864736163,590.8354368985549
piura,2019,989.5620449194122,163.79300497587056,184.05605713783396,6.009385567641098,1179.7764806554899,452.93881303212237
puno,2019,406.8531470789058,115.0100643894943,616.0504010421122,4.035440855771729,1114.9923084497289,454.3906403598968
san martin,2019,337.56161771740494,62.53654090376045,64.00665850185969,3.0533211652830596,479.4845089185249,280.56628929878786
tacna,2019,1072.3971310967636,213.37811979460636,409.135336793271,9.911757822717199,1795.955452155119,1030.8228135625886
tumbes,2019,1175.521587035213,202.27078342433492,471.830043899651,3.6481704425230745,1856.5134029728536,1178.359052934953
ucayali,2019,1476.2170827611055,220.53614477754047,746.2024093617332,7.484652111629235,1102.854785564717,738.3696338960747
amazonas,2020,497.18138920258855,146.20225582583188,212.50872761863707,3.2801788166052024,733.8228609719638,406.97647174594545
ancash,2020,649.4793493009712,134.84234795085368,227.16531231418944,5.674897809489446,1045.7057963575626,494.30900919672246
apurimac,2020,590.1526689201738,142.77887151294527,238.42910738828422,9.750752200884069,1456.8088109654173,463.39289030868093
arequipa,2020,591.4769092276274,106.6488228561049,221.77879818730392,3.6729400482691106,1019.2742537587533,315.8728441511435
ayacucho,2020,469.61073789345613,90.0910338469919,139.1771785343895,4.788892164624154,854.2186398648334,377.7238694847302
cajamarca,2020,265.94006649189555,78.69514642181286,72.57288415647952,1.5133682004194782,489.712191763012,209.25754843982057
callao,2020,850.2868512214852,179.22669654663346,288.35584066613916,4.779378574576892,1345.041040700834,285.7006303469298
cusco,2020,531.2897223808559,125.85892452517363,262.6236574986644,3.315955271447783,1064.7163937144226,327.3216292393567
huancavelica,2020,235.1382497940145,54.473238310836884,99.3657563157477,4.106022988254037,582.507794600306,293.17004136133824
huanuco,2020,528.4985406442737,143.7652824599779,309.7595976150484,2.6306547568156975,1103.033539532822,500.2190020085049
ica,2020,649.5197819483952,137.8204273663788,364.1371559360201,9.536681357941388,810.412825503342,382.0825240826841
junin,2020,577.4653370224912,161.73730248327723,241.50420098320416,8.593671385351241,1168.6658582249881,435.48613370724377
la libertad,2020,517.1137427105011,96.59004418449095,284.76212718251105,2.92546848402719,619.8522291326085,277.3244954434589
lambayeque,2020,1334.3912235797632,245.8831921329585,249.31624942305564,8.163047334231015,1209.8856791922396,470.86287987732544
lima,2020,601.9210667198571,135.40989436861562,155.97729494461575,9.68154400398176,944.3127750278262,225.507528364854
loreto,2020,382.84906268155896,96.63678679277784,217.70039481917829,4.379310579733135,465.4720556191907,218.38162090935896
madre de dios,2020,1224.318368802895,302.0522291454511,693.8571206655505,11.506751586493376,1750.1769163056422,1068.9772223852344
moquegua,2020,750.7523088097955,171.7339420981633,257.860329978209,4.150669295423887,1672.7197260558264,596.6587112171837
pasco,2020,233.9060845004119,58.844297987525,103.3452983405908,2.9422148993762507,587.339649287984,463.76662351418145
piura,2020,605.4823497012139,102.15073190120482,98.73268637869796,3.173899413756364,674.8686738081032,252.88653944375702
puno,2020,262.35927873815524,63.48965304439348,216.55949085498594,1.5347371601062039,707.0291769689264,192.4075744933146
san martin,2020,229.64537241232128,63.35811339546134,84.14402077256882,3.0011737924165898,403.37998861777055,210.30447463896994
tacna,2020,526.1824278790427,132.8934103198607,226.16140214678117,5.66077407042003,1102.7727010518258,431.5666327020223
tumbes,2020,595.5765124979624,131.59934955729344,435.7489036700713,1.192743349461874,1148.6118455317846,664.3580456502639
ucayali,2020,714.2978391132386,112.37290149547623,378.0278725535129,7.808388925667533,582.9132080596154,381.9320670163467
amazonas,2021,990.4040026883728,219.5971174669554,221.23067732058846,8.167799268165185,1136.4909267418416,688.4287954596371
ancash,2021,926.2103129357256,178.1400229385783,248.23479814303542,6.058612022474085,1288.4648234461554,694.4684030760919
apurimac,2021,859.4804103026179,197.3948524067077,286.80310908504003,12.540378858779077,1877.1089317687276,659.9954947527804
arequipa,2021,1183.0986284518779,237.8380644396395,344.08244354211683,7.72924582866358,1974.494798807076,632.3571121179509
ayacucho,2021,1036.4503962064482,228.21610826607997,270.15772136141584,9.851055033068201,1509.0025209745381,698.8278737094745
cajamarca,2021,426.38868369243664,109.8096884029837,94.62324213448595,2.4050933004408193,667.516466299489,329.9100838690392
callao,2021,1219.4740681557648,272.8662243373745,349.81067843123634,8.25025184979331,1943.7593358113038,458.80084760482157
cusco,2021,686.3844336799199,163.00079128015113,412.8672080074047,3.5038235474461508,1310.940981012196,468.3444141753021
huancavelica,2021,308.63164004509485,96.8310841732802,204.5452008617129,8.092511357421111,709.9085825268727,465.17987699382735
huanuco,2021,907.8131263053522,238.12788759730807,463.2022531170229,32.436024556443954,1410.175945655155,689.7270099786924
