anio_denuncia,dpto_pjfs,cantidad_total,cantidad_patrimonio,cantidad_vida,cantidad_libertad,cantidad_tranquilidad,cantidad_seguridad,cantidad_otros
2023,ancash,47986,14501,16432,2623,60,2685,11685
2023,apurimac,16960,3902,7259,898,154,1028,3719
2023,arequipa,74524,27241,25018,4178,179,5746,12162
2023,ayacucho,28483,9257,9884,1791,136,2210,5205
2023,cajamarca,27489,8658,9107,1757,45,1598,6324
2023,callao,55940,18276,17746,3405,117,6816,9580
2023,cusco,48054,12836,17684,2802,107,5724,8901
2023,huancavelica,5844,1058,2121,306,145,330,1884
2023,huanuco,34645,10597,10677,1962,192,4221,6996
2023,ica,44079,15635,12062,2425,112,3066,10779
2023,junin,60473,16389,20251,3423,154,6069,14187
2023,la libertad,60436,22511,18245,3017,98,5998,10567
2023,lambayeque,89423,42600,21523,4784,119,7092,13305
2023,lima,360259,140053,127420,20947,1182,24775,45882
2023,loreto,23867,7997,5187,1387,55,4961,4280
2023,madre de dios,13727,4448,3746,684,53,2056,2740
2023,moquegua,10913,3334,4291,526,14,495,2253
2023,pasco,6177,1469,1829,236,5,174,2464
2023,piura,63347,23564,18042,3434,117,6493,11697
2023,puno,23859,6413,8712,1087,147,1890,5610
2023,san martin,29115,8738,10280,2332,74,1438,6253
2023,tacna,16763,5154,5458,904,30,1215,4002
2023,tumbes,10519,2230,3119,433,7,1942,2788
2023,ucayali,24793,7968,5520,1921,54,3522,5808
